episode,channel,x_m,y_m,outcome,theta_deg,stage
2,15,-925.0,-1602.15,no_signal,,sweep
2,15,-0.0,-1850.0,no_signal,,sweep
2,15,925.0,-1602.15,no_signal,,sweep
2,15,1602.15,-925.0,no_signal,,sweep
2,15,1850.0,0.0,no_signal,,sweep
2,15,1602.15,925.0,no_signal,,sweep
2,15,856.23,898.93,no_signal,,sweep
2,15,925.0,1602.15,no_signal,,sweep
2,16,0.0,0.0,direction,267.08,sweep
2,16,961.27,-166.95,direction,218.35,sweep
2,16,508.27,-848.27,direction,192.07,sweep
2,16,-314.31,-931.09,direction,354.09,sweep
2,17,0.0,0.0,no_signal,,sweep
2,17,961.27,-166.95,no_signal,,sweep
2,17,508.27,-848.27,no_signal,,sweep
2,17,-314.31,-931.09,no_signal,,sweep
2,17,-902.87,-372.0,no_signal,,sweep
2,17,-878.56,438.35,no_signal,,sweep
2,17,-234.57,967.4,no_signal,,sweep
2,17,0.0,1850.0,no_signal,,sweep
2,17,-925.0,1602.15,no_signal,,sweep
2,17,-1602.15,925.0,no_signal,,sweep
2,17,-1850.0,0.0,direction,355.69,sweep
2,17,-1602.15,-925.0,no_signal,,sweep
2,17,987.61,-571.6,no_signal,,clear
2,17,105.95,-1287.37,no_signal,,clear
2,17,-48.69,-959.75,no_signal,,clear
2,17,-383.12,-404.67,no_signal,,clear
2,17,-1077.49,-870.92,no_signal,,refine
2,17,-870.44,701.82,no_signal,,refine
2,17,-1077.49,729.08,no_signal,,refine
2,17,-1077.49,-70.92,no_signal,,clear
2,17,-1077.49,-70.92,no_signal,,clear
2,17,-1093.42,-69.46,no_signal,,clear
2,17,-1109.36,-68.0,no_signal,,clear
2,17,-1125.29,-66.53,no_signal,,clear
2,17,-1141.22,-65.07,no_signal,,clear
2,17,-1157.16,-63.61,no_signal,,clear
2,17,-1173.09,-62.14,no_signal,,clear
2,17,-1189.02,-60.68,no_signal,,clear
2,17,-1204.95,-59.22,no_signal,,clear
2,17,-1220.89,-57.76,no_signal,,clear
2,17,-1236.82,-56.29,no_signal,,clear
2,17,-1252.75,-54.83,no_signal,,clear
2,17,-1268.69,-53.37,no_signal,,clear
2,17,-1284.62,-51.91,no_signal,,clear
2,17,-1300.55,-50.44,no_signal,,clear
2,17,-1316.49,-48.98,no_signal,,clear
2,17,-1332.42,-47.52,no_signal,,clear
2,17,-1348.35,-46.05,no_signal,,clear
2,17,-1364.28,-44.59,no_signal,,clear
2,17,-1380.22,-43.13,no_signal,,clear
2,17,-1396.15,-41.67,no_signal,,clear
2,17,-1412.08,-40.2,no_signal,,clear
2,17,-1428.02,-38.74,no_signal,,clear
2,17,-1443.95,-37.28,no_signal,,clear
2,17,-1459.88,-35.82,no_signal,,clear
2,17,-1475.82,-34.35,no_signal,,clear
2,17,-1491.75,-32.89,no_signal,,clear
2,17,-1507.68,-31.43,no_signal,,clear
2,17,-1523.61,-29.96,no_signal,,clear
2,17,-1539.55,-28.5,no_signal,,clear
2,17,-1555.48,-27.04,no_signal,,clear
2,17,-1571.41,-25.58,no_signal,,clear
2,17,-1587.35,-24.11,no_signal,,clear
2,17,-1603.28,-22.65,no_signal,,clear
2,17,-1619.21,-21.19,no_signal,,clear
2,17,-1635.15,-19.72,no_signal,,clear
2,17,-1651.08,-18.26,no_signal,,clear
2,17,-1667.01,-16.8,no_signal,,clear
2,17,-1682.94,-15.34,no_signal,,clear
2,17,-1698.88,-13.87,no_signal,,clear
2,17,-1714.81,-12.41,no_signal,,clear
2,18,0.0,0.0,no_signal,,sweep
2,18,961.27,-166.95,no_signal,,sweep
2,18,508.27,-848.27,no_signal,,sweep
2,18,-314.31,-931.09,no_signal,,sweep
2,18,-902.87,-372.0,no_signal,,sweep
2,18,-878.56,438.35,no_signal,,sweep
2,18,-234.57,967.4,no_signal,,sweep
